"","longitude","latitude","price","room_type","minimum_nights","number_of_reviews","review_scores_value","calculated_host_listings_count","bedrooms","reviews_per_month","beds","accommodates","availability_30","availability_60","availability_90","instant_bookable","Distancia_Centro","Distancia_Norte","Distancia_Sur","logprice","tv_ports","phone_ports","Vecinos","Piso","ventanas"
"1",-3.69764,40.41995,115,"Entire home/apt",3,68,10,1,2,0.6,3,4,14,44,74,"f",0.6,5.9,3.9,4.74493212836325,4,2,3,5,2
"2",-3.70346,40.41552,65,"Entire home/apt",5,170,10,3,1,1.37,2,2,30,60,90,"f",0.1,6.5,3.3,4.17438726989564,3,3,2,6,1
"3",-3.70269,40.41111,54,"Entire home/apt",3,8,9,1,1,0.12,1,2,0,0,0,"f",0.6,7,2.9,3.98898404656427,4,4,2,2,2
"4",-3.6973,40.41978,71,"Entire home/apt",3,120,9,15,1,1.84,2,4,0,0,0,"t",0.6,5.9,3.9,4.26267987704132,2,2,3,5,3
"5",-3.70428,40.42096,90,"Entire home/apt",5,48,9,3,1,0.4,3,3,30,60,90,"t",0.5,6,3.7,4.49980967033027,1,4,2,5,1
"6",-3.70889,40.42365,55,"Entire home/apt",5,50,9,1,1,1.64,1,2,0,0,0,"f",0.9,5.8,3.9,4.00733318523247,3,1,3,1,2
"7",-3.70449,40.4115,79,"Entire home/apt",2,110,9,5,3,0.94,6,5,18,48,78,"f",0.6,7,2.8,4.36944785246702,1,3,2,6,6
"8",-3.69408,40.41139,115,"Entire home/apt",3,18,9,8,1,0.25,1,4,30,60,90,"t",1,6.8,3.4,4.74493212836325,2,3,2,2,3
"9",-3.70759,40.41075,80,"Entire home/apt",8,5,9,1,1,0.13,2,4,28,58,88,"f",0.8,7.1,2.6,4.38202663467388,3,2,2,5,4
"10",-3.69719,40.40743,64,"Entire home/apt",3,56,9,1,1,0.55,2,3,0,0,0,"t",1.2,7.3,2.9,4.15888308335967,2,3,2,5,3
"11",-3.68279,40.42315,63,"Entire home/apt",3,108,9,1,1,0.95,1,2,0,0,0,"f",1.9,5.4,5,4.14313472639153,2,2,2,4,2
"12",-3.70534,40.40865,70,"Entire home/apt",1,185,9,1,1,1.62,1,2,29,59,76,"f",0.9,7.3,2.5,4.24849524204936,4,2,2,6,1
"13",-3.69812,40.40939,76,"Entire home/apt",2,154,9,5,3,1.37,3,5,30,60,90,"f",0.9,7.1,3,4.33073334028633,3,1,2,4,4
"14",-3.71369,40.41218,114,"Entire home/apt",2,209,9,1,2,1.86,3,6,30,60,90,"t",1,7.1,2.5,4.7361984483945,1,2,2,6,4
