IdRegistro,Fecha,Mes,Hogar,TipoVivienda,ZonaClimatica,DispositivosActivos,ConsumoBase_kWh,ConsumoExtra_kWh,Tarifa,Precio_kWh,CosteDiario,PicoDemanda
1,2024-04-12,4,H055,Piso,Norte,5.0,2.12,4.3,A,0.2,1.28,No
2,2024-12-14,12,H023,Chalet,Centro,13.0,8.33,2.28,C,0.23,2.44,No
3,2024-09-27,9,H041,Piso,Costa,8.0,5.12,2.16,A,0.2,1.46,No
4,2024-04-16,4,H033,Estudio,Norte,6.0,3.64,3.73,A,0.2,1.47,No
5,2024-03-12,3,H014,Adosado,Norte,11.0,6.04,3.94,A,0.2,2.0,No
6,2024-07-07,7,H056,Piso,Centro,7.0,3.26,2.35,A,0.2,1.12,No
7,2024-01-21,1,H028,Piso,Sur,6.0,3.69,2.61,C,0.23,1.45,No
8,2024-04-12,4,H029,Adosado,Sur,7.0,4.86,,A,0.2,1.62,No
9,2024-05-01,5,H043,Piso,Centro,8.0,4.41,2.77,C,0.23,1.65,No
10,2024-08-02,8,H040,Piso,Centro,7.0,3.94,2.6,C,0.23,1.5,No
11,2024-11-26,11,H023,Adosado,Sur,12.0,6.49,2.9,B,0.18,1.69,No
12,2024-03-28,3,H044,Piso,Norte,7.0,4.82,4.47,C,0.23,2.14,Sí
13,2024-04-09,4,H038,Chalet,Norte,13.0,6.55,2.71,B,0.18,1.67,No
14,2024-12-25,12,H049,Adosado,Sur,9.0,4.58,2.15,A,0.2,1.35,Sí
15,2024-05-31,5,H043,Adosado,Norte,9.0,5.44,3.89,C,0.23,2.15,No
16,2024-05-10,5,H010,Adosado,Norte,9.0,6.45,2.53,B,0.18,1.62,Sí
17,2024-05-29,5,H027,Chalet,Sur,14.0,7.04,2.34,C,0.23,2.16,No
18,2024-11-04,11,H008,Adosado,Sur,8.0,5.54,4.92,B,0.18,1.88,No
19,2024-09-14,9,H044,Piso,Sur,5.0,3.77,2.38,A,0.2,1.23,No
20,2024-12-09,12,H053,Piso,Sur,7.0,3.47,2.66,A,0.2,1.23,No
21,2024-10-20,10,H004,Piso,Sur,6.0,3.14,2.7,A,0.2,1.17,No
22,2024-07-10,7,H021,Piso,Sur,6.0,3.16,3.34,A,0.2,1.3,No
23,2024-10-03,10,H021,Adosado,Centro,10.0,6.39,3.43,B,0.18,1.77,No
24,2024-06-09,6,H030,Piso,Costa,7.0,3.91,1.62,A,0.2,1.11,No
25,2024-11-09,11,H013,Chalet,Norte,12.0,7.46,3.57,C,0.23,2.54,No
26,2024-01-22,1,H058,Piso,Centro,8.0,4.63,2.88,C,0.23,1.73,Sí
27,2024-09-09,9,H003,Piso,Centro,5.0,4.5,2.0,A,0.2,1.3,No
